lat;long;nombre_estacion;id_estacion;capacidad;dirección_completa;direccion_nombre;direccion_altura;direccion_interseccion;barrio
-3.459.242.329.999.990;-5.837.471.510.000.000;002 - Retiro I;2;20.0;Ramos Mejia, Jose Maria, Dr. Av. y Del Libertador Av.;Ramos Mejia, Jose Maria, Dr. Av.;;Del Libertador Av.;Retiro
-34.611.032;-583.682.604;003 - ADUANA;3;20.0;Moreno y Paseo Colon Av.;Moreno;;Paseo Colon Av.;Monserrat
-346.017.255;-58.368.762.800.000.000;004 - Plaza Roma;4;20.0;Lavalle y Bouchard;Lavalle;;Bouchard;San Nicolas
-3.458.054.970.000.000;-58.420.954.200.000.000;005 - Plaza Italia;5;42.0;Sarmiento Av. 2601;Sarmiento Av.;2601.0;;Palermo
-34.628.526;-58.369.758;006 - Parque Lezama;6;20.0;Garcia, Martin Av. 295;Garcia, Martin Av.;295.0;;San Telmo
-34.606.497.999.999.900;-58.381.098;007 - OBELISCO;7;16.0;Pellegrini, Carlos 215;Pellegrini, Carlos;215.0;;San Nicolas
-346.094.218;-583.893.364;008 - Congreso;8;24.0;Cevallos, Virrey y Yrigoyen, Hipolito Av.;Cevallos, Virrey;;Yrigoyen, Hipolito Av.;San Nicolas
-34.585.443;-58.407.741;009 - Parque Las Heras;9;24.0;Diaz, Cnel. Av. 2300;Diaz, Cnel. Av.;2300.0;French;Palermo
-34.601.176.200.000.000;-583.850.791;011 - Tribunales;11;20.0;Talcahuano 600;Talcahuano;600.0;;San Nicolas
-345.927.096;-5.838.880.699.999.990;012 - Plaza Vicente Lopez;12;16.0;Parana y Juncal;Parana;;Juncal;Recoleta
-3.461.009;-5.840.600.000.000.000;013 - ONCE;13;30.0;Pueyrredon Av. y Rivadavia Av.;Pueyrredon Av.;;Rivadavia Av.;Balvanera
-34.577.424;-58.426.387;014 - Pacifico;14;30.0;Santa Fe Av. y Bullrich, Int. Av.;Santa Fe Av.;;Bullrich, Int. Av.;Palermo
-346.004;-583.636.706;015 - JUANA MANSO II;15;20.0;Manso Juana y De La Barra,  Emma;Manso Juana;;De La Barra,  Emma;Puerto Madero
-34.606.410.100.000.000;-58.418.730.599.999.900;017 - Plaza Almagro;17;20.0;Bulnes 441;Bulnes;441.0;Peron, Juan Domingo, Tte. General;Almagro
-345.956.027;-583.776.353;019 - PLAZA SAN MARTIN;19;24.0;Santa Fe Av. 750;Santa Fe Av.;750.0;Maipu;Retiro
-345.798.619;-5.844.177.560.000.000;020 - Distrito Audiovisual;20;20.0;Zapiola y Dorrego;Zapiola;;Dorrego;Colegiales
-3.463.968.320.000.000;-584.062.115;021 - Parque Patricios;21;24.0;Iguazu y Uspallata;Iguazu;;Uspallata;Parque Patricios
-345.938.629;-583.825.498;022 - Arenales;22;20.0;Cerrito y Arenales;Cerrito;;Arenales;Retiro
-34.600.309.499.999.900;-583.793.463;023 - Suipacha;23;12.0;Suipacha y Viamonte;Suipacha;;Viamonte;San Nicolas
-34.610.583;-58.380.894.299.999.900;024 - ALSINA;24;18.0;Alsina, Adolfo E Irigoyen, Bernardo De;Alsina, Adolfo;;Irigoyen, Bernardo De;Monserrat
-345.894.269;-58.416.117.799.999.900;025 - Plaza Guemes;25;24.0;Salguero, Jeronimo y Mansilla, Lucio Norberto, General;Salguero, Jeronimo;;Mansilla, Lucio Norberto, General;Palermo
-34.600.460.600.000.000;-583.636.593;026 - JUANA MANSO I;26;24.0;Manso Juana y De La Barra,  Emma;Manso Juana;;De La Barra,  Emma;Puerto Madero
-34.599.068;-583.900.887;027 - Montevideo;27;16.0;Cordoba Av. y Montevideo;Cordoba Av.;;Montevideo;San Nicolas
-346.231.273;-584.127.377;028 - Plaza Boedo;28;20.0;Calvo, Carlos 3310;Calvo, Carlos;3310.0;Sanchez De Loria;San Cristobal
-346.079.414;-584.335.573;029 - Parque Centenario;29;30.0;Patricias Argentinas Av. y Estivao;Patricias Argentinas Av.;;Estivao;Caballito
-345.908.211;-583.973.698;030 - Peña;30;20.0;Peña y Azcuenaga;Peña;;Azcuenaga;Recoleta
-346.032.081;-5.843.964.570.000.000;031 - Padilla;31;20.0;Padilla y Alvarez, Julian;Padilla;;Alvarez, Julian;Villa Crespo
-3.460.720.739.999.990;-5.837.359.839.999.990;032 - Catedral;32;16.0;San Martin 67;San Martin;67.0;;San Nicolas
-345.970.909;-583.989.807;033 - Facultad de Medicina;33;20.0;Uriburu Jose E., Pres. 987;Uriburu Jose E., Pres.;987.0;;Recoleta
-346.045.481;-583.767.677;036 - MAIPÚ;36;16.0;Maipu 300;Maipu;300.0;;San Nicolas
-3.459.704.970.000.000;-5.838.284.029.999.990;038 - Plaza Libertad;38;20.0;Cerrito 990;Cerrito;990.0;Alvear, Marcelo T. De;Retiro
-346.092.213;-5.838.769.250.000.000;039 - CONGRESO II;39;20.0;Rivadavia Av. y Parana;Rivadavia Av.;;Parana;Monserrat
-34.604.461;-58.373.499;040 - Sarmiento;40;16.0;Sarmiento 481;Sarmiento;481.0;;San Nicolas
-346.364.511;-584.076.348;041 - URQUIZA;41;20.0;Urquiza, Gral. y Rondeau;Urquiza, Gral.;;Rondeau;Parque Patricios
-34.604.447;-5.838.003.248;042 - Diagonal Norte;42;24.0;Saenz Peña, Roque, Pres. Diagonal Norte Av. y Suipacha;Saenz Peña, Roque, Pres. Diagonal Norte Av.;;Suipacha;San Nicolas
-34.583.918;-583.900.194;334 - CENTRO DE EXPOSICIONES;43;28.0;Figueroa Alcorta, Pres. Av. 2133;Figueroa Alcorta, Pres. Av.;2133.0;;Recoleta
-345.755.148;-58.413.882.900.000.000;044 - Ecoparque;44;20.0;Del Libertador Av. 3260;Del Libertador Av.;3260.0;;Palermo
